Disputed,Response,count,states
0.217734296371,0.973491800367,67564.0,CA
0.198791348601,0.981647582697,31440.0,NY
0.197523219814,0.971517027864,3230.0,KY
0.203956892392,0.978982360195,18651.0,NJ
0.212917202627,0.977929727168,14771.0,VA
0.226207906296,0.974743777452,5464.0,OR
0.199113342833,0.97530026464,44211.0,FL
0.2204945195,0.977568187612,7846.0,CO
0.214423256103,0.97683085906,16099.0,IL
0.204255914882,0.97508049839,14286.0,OH
0.191719507646,0.979485266692,2681.0,DC
0.197628458498,0.976102158711,16445.0,PA
0.204841312534,0.977729962345,9295.0,MA
0.222328832842,0.977246247687,14591.0,MD
0.184665162669,0.973729517929,33688.0,TX
0.194355939918,0.975876194811,2197.0,KS
0.209686831356,0.974713090838,5141.0,WI
0.206385315344,0.977957326639,12748.0,NC
0.216781943939,0.973425555151,5494.0,NV
0.212121212121,0.977225672878,5313.0,MN
0.15873015873,0.97619047619,630.0,SD
0.229077580941,0.972510690287,1637.0,ME
0.200607902736,0.976833976834,12173.0,MI
0.205340993723,0.974358974359,9399.0,WA
0.199979976974,0.976823346849,19977.0,GA
0.198035766637,0.968044561712,6822.0,TN
0.216301248648,0.976206862649,10171.0,AZ
0.190118152524,0.970461868958,1862.0,IA
0.200256739409,0.971758664955,1558.0,ID
0.199257425743,0.970297029703,2424.0,UT
0.178585617799,0.973579658323,5034.0,IN
0.217753120666,0.967406380028,1442.0,NE
0.206214689266,0.971419076105,6018.0,MO
0.224984839297,0.974530018193,1649.0,HI
0.178523489933,0.963758389262,745.0,MT
0.191852526172,0.965634956759,4394.0,LA
0.188615123195,0.971962616822,1177.0,WV
0.198119396457,0.969604198557,4573.0,AL
0.204919548733,0.982245237655,5407.0,CT
0.188396132044,0.968989663221,2999.0,OK
0.174898051654,0.971907566833,2207.0,NM
0.231777231777,0.977067977068,2442.0,DE
0.192813945215,0.972251867663,5622.0,SC
0.221428571429,0.964285714286,2100.0,MS
0.186790505676,0.975232198142,1938.0,AR
0.185714285714,0.973469387755,2450.0,NH
0.206427688504,0.979604449938,1618.0,RI
0.182382133995,0.97270471464,806.0,VT
0.195530726257,0.981378026071,537.0,AK
0.209677419355,0.97311827957,186.0,AE
0.228346456693,0.952755905512,127.0,AP
0.188311688312,0.965367965368,462.0,WY
0.200995024876,0.986069651741,1005.0,PR
0.225490196078,0.990196078431,102.0,VI
0.166226912929,0.968337730871,379.0,ND
0.163265306122,0.959183673469,49.0,GU
0.208333333333,0.958333333333,24.0,MH
0.272727272727,1.0,11.0,AA
0.192307692308,1.0,26.0,FM
0.157894736842,1.0,19.0,MP
0.333333333333,1.0,9.0,PW
0.384615384615,1.0,13.0,AS
